x     rho     p     u
0 1 1 0
1e-05 1 1 6.59318e-17
2e-05 1 1 8.35989e-17
3e-05 1 1 8.35989e-17
4e-05 1 1 8.35989e-17
5e-05 1 1 8.35988e-17
6e-05 1 1 8.35988e-17
7e-05 1 1 8.35988e-17
8e-05 1 1 8.35987e-17
9e-05 1 1 8.35987e-17
0.0001 1 1 8.35986e-17
0.00011 1 1 8.35986e-17
0.00012 1 1 8.35986e-17
0.00013 1 1 8.35985e-17
0.00014 1 1 8.35985e-17
0.00015 1 1 8.35985e-17
0.00016 1 1 8.35984e-17
0.00017 1 1 8.35984e-17
0.00018 1 1 8.35983e-17
0.00019 1 1 8.35983e-17
0.0002 1 1 8.35983e-17
0.00021 1 1 8.35983e-17
0.00022 1 1 8.35982e-17
0.00023 1 1 8.35982e-17
0.00024 1 1 8.35982e-17
0.00025 1 1 8.35982e-17
0.00026 1 1 8.35981e-17
0.00027 1 1 8.35981e-17
0.00028 1 1 8.35981e-17
0.00029 1 1 8.35981e-17
0.0003 1 1 8.3598e-17
0.00031 1 1 8.3598e-17
0.00032 1 1 8.3598e-17
0.00033 1 1 8.3598e-17
0.00034 1 1 8.35979e-17
0.00035 1 1 8.35979e-17
0.00036 1 1 8.35979e-17
0.00037 1 1 8.35979e-17
0.00038 1 1 8.35978e-17
0.00039 1 1 8.35978e-17
0.0004 1 1 8.35978e-17
0.00041 1 1 8.35978e-17
0.00042 1 1 8.35977e-17
0.00043 1 1 8.35977e-17
0.00044 1 1 8.35976e-17
0.00045 1 1 8.35976e-17
0.00046 1 1 8.35976e-17
0.00047 1 1 8.35976e-17
0.00048 1 1 8.35975e-17
0.00049 1 1 8.35975e-17
0.0005 1 1 8.35975e-17
0.00051 1 1 8.35975e-17
0.00052 1 1 8.35974e-17
0.00053 1 1 8.35974e-17
0.00054 1 1 8.35974e-17
0.00055 1 1 8.35974e-17
0.00056 1 1 8.35973e-17
0.00057 1 1 8.35973e-17
0.00058 1 1 8.35972e-17
0.00059 1 1 8.35972e-17
0.0006 1 1 8.35972e-17
0.00061 1 1 8.35972e-17
0.00062 1 1 8.35971e-17
0.00063 1 1 8.35971e-17
0.00064 1 1 8.35971e-17
0.00065 1 1 8.35971e-17
0.00066 1 1 8.3597e-17
0.00067 1 1 8.3597e-17
0.00068 1 1 8.35969e-17
0.00069 1 1 8.35969e-17
0.0007 1 1 8.35969e-17
0.00071 1 1 8.35969e-17
0.00072 1 1 8.35968e-17
0.00073 1 1 8.35968e-17
0.00074 1 1 8.35967e-17
0.00075 1 1 8.35967e-17
0.00076 1 1 8.35967e-17
0.00077 1 1 8.35967e-17
0.00078 1 1 8.35966e-17
0.00079 1 1 8.35966e-17
0.0008 1 1 8.35965e-17
0.00081 1 1 8.35965e-17
0.00082 1 1 8.35965e-17
0.00083 1 1 8.35965e-17
0.00084 1 1 8.35964e-17
0.00085 1 1 8.35964e-17
0.00086 1 1 8.35963e-17
0.00087 1 1 8.35963e-17
0.00088 1 1 8.35963e-17
0.00089 1 1 8.35963e-17
0.0009 1 1 8.35962e-17
0.00091 1 1 8.35962e-17
0.00092 1 1 8.35961e-17
0.00093 1 1 8.35961e-17
0.00094 1 1 8.35961e-17
0.00095 1 1 8.35961e-17
0.00096 1 1 8.3596e-17
0.00097 1 1 8.3596e-17
0.00098 1 1 8.35959e-17
0.00099 1 1 8.35959e-17
0.001 1 1 8.35959e-17
0.00101 1 1 8.35959e-17
0.00102 1 1 8.35958e-17
0.00103 1 1 8.35958e-17
0.00104 1 1 8.35957e-17
0.00105 1 1 8.35957e-17
0.00106 1 1 8.35957e-17
0.00107 1 1 8.35957e-17
0.00108 1 1 8.35956e-17
0.00109 1 1 8.35956e-17
0.0011 1 1 8.35955e-17
0.00111 1 1 8.35955e-17
0.00112 1 1 8.35954e-17
0.00113 1 1 8.35954e-17
0.00114 1 1 8.35954e-17
0.00115 1 1 8.35954e-17
0.00116 1 1 8.35953e-17
0.00117 1 1 8.35953e-17
0.00118 1 1 8.35952e-17
0.00119 1 1 8.35952e-17
0.0012 1 1 8.35951e-17
0.00121 1 1 8.35951e-17
0.00122 1 1 8.35951e-17
0.00123 1 1 8.35951e-17
0.00124 1 1 8.3595e-17
0.00125 1 1 8.3595e-17
0.00126 1 1 8.35949e-17
0.00127 1 1 8.35949e-17
0.00128 1 1 8.35948e-17
0.00129 1 1 8.35948e-17
0.0013 1 1 8.35948e-17
0.00131 1 1 8.35948e-17
0.00132 1 1 8.35947e-17
0.00133 1 1 8.35947e-17
0.00134 1 1 8.35946e-17
0.00135 1 1 8.35946e-17
0.00136 1 1 8.35946e-17
0.00137 1 1 8.35946e-17
0.00138 1 1 8.35945e-17
0.00139 1 1 8.35945e-17
0.0014 1 1 8.35944e-17
0.00141 1 1 8.35944e-17
0.00142 1 1 8.35943e-17
0.00143 1 1 8.35943e-17
0.00144 1 1 8.35943e-17
0.00145 1 1 8.35943e-17
0.00146 1 1 8.35942e-17
0.00147 1 1 8.35942e-17
0.00148 1 1 8.35941e-17
0.00149 1 1 8.35941e-17
0.0015 1 1 8.3594e-17
0.00151 1 1 8.3594e-17
0.00152 1 1 8.3594e-17
0.00153 1 1 8.3594e-17
0.00154 1 1 8.35939e-17
0.00155 1 1 8.35939e-17
0.00156 1 1 8.35938e-17
0.00157 1 1 8.35938e-17
0.00158 1 1 8.35937e-17
0.00159 1 1 8.35937e-17
0.0016 1 1 8.35937e-17
0.00161 1 1 8.35937e-17
0.00162 1 1 8.35936e-17
0.00163 1 1 8.35936e-17
0.00164 1 1 8.35935e-17
0.00165 1 1 8.35935e-17
0.00166 1 1 8.35934e-17
0.00167 1 1 8.35934e-17
0.00168 1 1 8.35934e-17
0.00169 1 1 8.35934e-17
0.0017 1 1 8.35933e-17
0.00171 1 1 8.35933e-17
0.00172 1 1 8.35932e-17
0.00173 1 1 8.35932e-17
