x     rho     p     u
0 1 1 0
0.01 1 1 0
0.02 1 1 0
0.03 1 1 0
0.04 1 1 2.62741e-17
0.05 1 1 1.01203e-15
0.06 1 1 4.32172e-14
0.07 1 1 1.1399e-12
0.08 1 1 2.0223e-11
0.09 1 1 2.6338e-10
0.1 1 1 2.66605e-09
0.11 1 1 2.18168e-08
0.12 1 1 1.44707e-07
0.13 0.999999 0.999999 7.86605e-07
0.14 0.999997 0.999996 3.46586e-06
0.15 0.99999 0.999986 1.15822e-05
0.16 0.999976 0.999966 2.89842e-05
0.17 0.999943 0.999921 6.69937e-05
0.18 0.999872 0.999821 0.000151091
0.19 0.999722 0.999611 0.00032924
0.2 0.999406 0.999168 0.000703404
0.21 0.998757 0.998261 0.00147093
0.22 0.997446 0.996426 0.00302483
0.23 0.994887 0.992851 0.00606069
0.24 0.990294 0.986442 0.0115246
0.25 0.982764 0.975965 0.020524
0.26 0.971544 0.960412 0.0340361
0.27 0.956298 0.939396 0.0525972
0.28 0.937227 0.913293 0.0761531
0.29 0.91497 0.883091 0.104139
0.3 0.89037 0.850048 0.135716
0.31 0.864261 0.815369 0.170011
0.32 0.837329 0.780028 0.206271
0.33 0.810079 0.744727 0.243924
0.34 0.782858 0.709931 0.282567
0.35 0.755888 0.67593 0.321931
0.36 0.729313 0.642894 0.361836
0.37 0.703219 0.610922 0.402169
0.38 0.677657 0.580061 0.442854
0.39 0.652682 0.550329 0.483844
0.4 0.628207 0.521725 0.525113
0.41 0.604528 0.494232 0.566649
0.42 0.58109 0.467818 0.608463
0.43 0.55843 0.442435 0.650603
0.44 0.536434 0.417983 0.693197
0.45 0.514438 0.394308 0.73652
0.46 0.492362 0.371105 0.781213
0.47 0.470245 0.347912 0.828357
0.48 0.447844 0.324538 0.878665
0.49 0.435304 0.3118 0.907375
0.5 0.429182 0.305951 0.92089
0.51 0.425792 0.302821 0.928219
0.52 0.424887 0.301904 0.930381
0.53 0.424545 0.301439 0.93149
0.54 0.424657 0.301457 0.931461
0.55 0.424889 0.301609 0.93112
0.56 0.425771 0.30254 0.928951
0.57 0.426096 0.303088 0.927683
0.58 0.426205 0.303335 0.927115
0.59 0.426417 0.303384 0.927001
0.6 0.426883 0.303345 0.927075
0.61 0.427148 0.303311 0.927125
0.62 0.427252 0.303268 0.927188
0.63 0.426996 0.303226 0.927267
0.64 0.426475 0.303213 0.927293
0.65 0.423158 0.303226 0.927269
0.66 0.41696 0.303267 0.927205
0.67 0.395879 0.303258 0.927272
0.68 0.357256 0.303217 0.927468
0.69 0.322699 0.303219 0.927554
0.7 0.298413 0.303262 0.92756
0.71 0.283195 0.303282 0.927613
0.72 0.274607 0.303284 0.92773
0.73 0.270177 0.30326 0.927885
0.74 0.267985 0.303218 0.928033
0.75 0.266944 0.303218 0.927993
0.76 0.266453 0.303252 0.927737
0.77 0.266133 0.303203 0.927535
0.78 0.265871 0.303132 0.927272
0.79 0.265627 0.302973 0.927199
0.8 0.265522 0.302849 0.927207
0.81 0.265305 0.302718 0.926539
0.82 0.264793 0.302054 0.924242
0.83 0.263049 0.299661 0.917355
0.84 0.25515 0.288298 0.884594
0.85 0.235489 0.259833 0.799265
0.86 0.175379 0.170788 0.436632
0.87 0.143572 0.12433 0.17149
0.88 0.130062 0.106074 0.0452992
0.89 0.12618 0.101348 0.0101688
0.9 0.125252 0.100284 0.00214314
0.91 0.125051 0.100058 0.00043628
0.92 0.12501 0.100012 8.8481e-05
0.93 0.125001 0.100001 5.71499e-06
0.94 0.125 0.1 1.72246e-08
0.95 0.125 0.1 5.31399e-11
0.96 0.125 0.1 1.65752e-13
0.97 0.125 0.1 5.25482e-16
0.98 0.125 0.1 0
0.99 0.125 0.1 0
